_id,APPLICATION_DATE,COMPLETED_DATE,DESCRIPTION,ISSUED_DATE,PERMIT_NUM,PERMIT_TYPE,POSTAL,REVISION_NUM,STATUS,STREET_DIRECTION,STREET_NAME,STREET_NUM,STREET_TYPE,STRUCTURE_TYPE,WORK
23458,2009-10-27,NA,Permit for installation of solar collector system (greensaver) (certified model number 09-148271-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-11-06,09 182954,Small Residential Projects,M8X,00,Permit Issued, ,GOVERNMENT,43,RD,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23459,2009-10-27,NA,Permit for installation of solar collector system (greensaver) (certified model number 09-148271-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-11-06,09 182959,Small Residential Projects,M8X,00,Permit Issued, ,GOVERNMENT,41,RD,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23460,2009-10-27,2010-05-13,Permit for installation of solar collector system (Nova Solar) (certified model number 09-148268-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-10-29,09 182964,Small Residential Projects,M4M,00,Closed, ,BLACKBURN,27,ST,SFD - Townhouse,Solar Domestic Hot Water (Res)
23461,2009-11-03,2010-03-24,Permit for installation of solar collector system (Nova Solar) (certified model number 09-148268-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-11-04,09 184942,Small Residential Projects,M4K,00,Closed, ,HAMPTON,42,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23462,2009-11-03,2011-03-16,"Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.

",2009-12-03,09 184957,Small Residential Projects,M4J,00,Closed, ,CHATHAM,136,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23463,2009-11-04,2010-09-21,Permit for installation of solar collector system (Nova Solar) (certified model number 09-148268-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-11-04,09 185472,Small Residential Projects,M4K,00,Closed, ,LOGAN,589,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23464,2009-11-04,2010-05-06,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-03,09 185482,Small Residential Projects,M4M,00,Closed, ,WINNIFRED,77,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23465,2009-11-09,2021-08-25,Permit for installation of 2 solar collectors on south face of roof of the existing single family detached dwelling (Certified model 09-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system. ,2009-11-12,09 186576,Small Residential Projects,M4P,00,Closed, ,BROADWAY,247,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23466,2009-11-09,2010-10-06,Permit for installation of 2 solar collectors on south face of roof of the existing single family detached dwelling (Certified model 09-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system. ,2009-11-12,09 186794,Small Residential Projects,M4E,00,Closed, ,BALSAM,25,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23467,2009-11-10,NA,Permit for installation of 2 solar collectors on south face of roof of the existing single family detached dwelling (Certified model 09-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system. ,2009-11-13,09 186847,Small Residential Projects,M2J,00,Permit Issued, ,SANDBOURNE,26,CRES,SFD - Detached,Solar Domestic Hot Water (Res)
23468,2009-11-10,2010-09-30,Permit for installation of 2 solar collectors on south face of roof of the existing single family detached dwelling (Certified model 09-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system. ,2009-11-13,09 186869,Small Residential Projects,M1M,00,Closed, ,THATCHER,57,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23469,2009-11-10,2011-03-23,Permit for installation of 2 solar collectors on south face of roof of the existing single family detached dwelling (Certified model 09-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system. ,2009-11-12,09 186870,Small Residential Projects,M4L,00,Closed, ,ASHDALE,61,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23470,2009-11-10,2012-03-20,Permit for installation of 2 solar collectors on south face of roof of the existing single family detached dwelling (Certified model 09-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system. ,2009-11-12,09 186899,Small Residential Projects,M4J,00,Closed, ,TORRENS,266,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23471,2009-11-10,2010-08-10,Permit for installation of 2 solar collectors on south face of roof of the existing single family detached dwelling (Certified model 09-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system. ,2009-11-13,09 186926,Small Residential Projects,M8W,00,Closed, ,PARK,1,BLVD,SFD - Detached,Solar Domestic Hot Water (Res)
23472,2009-11-10,2010-04-09,Permit for installation of solar collector system (Nova Solar) (certified model number 09-148268-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-11-12,09 186948,Small Residential Projects,M4K,00,Closed, ,FULTON,173,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23473,2009-11-13,2021-07-29,Permit for installation of 2 solar collectors on south face of roof of the existing single family detached dwelling (Certified model 09-181272) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system. ,2009-11-17,09 187866,Small Residential Projects,M4C,00,Closed, ,GLEDHILL,152,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23474,2009-11-13,2010-02-02,Permit for installation of 2 solar collectors on south face of roof of the existing single family detached dwelling (Certified model 09-181272 ) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system. ,2009-11-17,09 187879,Small Residential Projects,M4M,00,Closed, ,LOGAN,227,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23475,2009-11-17,2010-11-10,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-03,09 188478,Small Residential Projects,M4L,00,Closed, ,KENILWORTH,32,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23476,2009-11-17,2010-09-22,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-11-18,09 188485,Small Residential Projects,M4M,00,Closed, ,HAMILTON,118,ST,SFD - Detached,Solar Domestic Hot Water (Res)
23477,2009-11-17,2010-04-20,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-11-18,09 188492,Small Residential Projects,M4J,00,Closed, ,EATON,71,AVE,Converted House,Solar Domestic Hot Water (Res)
23478,2009-11-20,2010-04-16,Permit for installation of 2 solar collectors on south face of roof of the existing single family detached dwelling (Certified model 09-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system. ,2009-11-24,09 189880,Small Residential Projects,M4B,00,Closed, ,MEIGHEN,98,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23479,2009-11-20,2010-03-11,Permit for installation of 2 solar collectors on south face of roof of the existing single family detached dwelling (Certified model 09-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system. ,2009-11-24,09 189922,Small Residential Projects,M4C,00,Closed, ,BALFOUR,5,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23480,2009-11-20,2010-09-22,Permit for installation of 2 solar collectors on south face of roof of the existing single family detached dwelling (Certified model 09-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system. ,2009-11-24,09 189926,Small Residential Projects,M4J,00,Closed, ,ALDWYCH,83,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23481,2009-11-23,2010-05-20,Permit for installation of 2 solar collector system (Nova Solar) (certified model number 09-148268-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-11-24,09 190482,Small Residential Projects,M4M,00,Closed, ,WARDELL,36 1/2,ST,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23482,2009-11-23,2010-05-20,Permit for installation of 2 solar collector system (Nova Solar) (certified model number 09-148268-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-11-24,09 190493,Small Residential Projects,M4M,00,Closed, ,WARDELL,38,ST,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23483,2009-11-23,2010-04-09,Permit for installation of 2 solar collector system (Nova Solar) (certified model number 09-148268-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-11-24,09 190510,Small Residential Projects,M4L,00,Closed, ,WOODFIELD,360,RD,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23484,2009-11-25,2010-04-29,Permit for installation of 2 solar collector system (Nova Solar) (certified model number 09-148268-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-11-26,09 191419,Small Residential Projects,M4J,00,Closed, ,FRIZZELL,95,AVE,SFD - Townhouse,Solar Domestic Hot Water (Res)
23485,2009-11-26,2010-05-05,Permit for installation of 2 solar collector system (Skyline Solar) (certified model number 09- ) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-02,09 191605,Small Residential Projects,M4C,00,Closed, ,BALFOUR,38,AVE,SFD - Townhouse,Solar Domestic Hot Water (Res)
23486,2009-11-26,2013-03-11,install solar water tank on roof ( the solar water tank is already installed on the roof E.O.Dec.9/09).,2010-07-30,09 191625,Small Residential Projects,M1V,00,Closed, ,SCOVILLE,72,SQ,SFD - Detached,Solar Domestic Hot Water (Res)
23487,2009-11-26,2010-05-10,Permit for installation of 2 solar collector system (Skyline Solar) (certified model number 09- ) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-02,09 191634,Small Residential Projects,M4K,00,Closed, ,DEARBOURNE,78,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23488,2009-11-27,NA,Permit for installation of 2 solar collector system (Enerworks) (certified model number 09-186400-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-02,09 191849,Small Residential Projects,M4J,00,Inspection, ,SEYMOUR,36,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23489,2009-12-01,2010-01-20,"Proposal to install two solar tube exchangers @ 60 degree angle to existing flat roof assembly of single family dwelling.

",2009-12-23,09 192699,Small Residential Projects,M4W,00,Closed, ,ASTLEY,36,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23490,2009-12-01,NA,Permit for installation of 1 solar collector system (Enerworks Inc) (certified model number 09- 148269) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water. (Sloped Roof),2014-04-07,09 192862,Small Residential Projects,M8Y,00,Permit Issued, ,ROYAL YORK,874,RD,SFD - Detached,Solar Domestic Hot Water (Res)
23491,2009-12-01,2010-07-29,Permit for installation of 2 solar collector system (Enerworks Inc) (certified model number 09- 148269) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water. (Sloped Roof),2010-04-26,09 192907,Small Residential Projects,M4K,00,Closed, ,PLAYTER,54,BLVD,SFD - Detached,Solar Domestic Hot Water (Res)
23492,2009-12-01,2011-07-26,Permit for installation of 2 solar collector system (Enerworks Inc) (certified model number 09- 148269) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water. (Sloped Roof),2010-04-26,09 193004,Small Residential Projects,M4L,00,Closed,E,GERRARD,1802,ST,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23493,2009-12-01,2010-07-29,Permit for installation of 2 solar collector system (Enerworks Inc) (certified model number 09- 148269) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water. (Sloped Roof),2010-04-26,09 193033,Small Residential Projects,M4E,00,Closed, ,WINTHORPE,57,RD,SFD - Detached,Solar Domestic Hot Water (Res)
23494,2009-12-02,2010-02-03,"Installation of a solar hot water heating system and connection to potable water heating system.
(Solar Boiler By: THERMO DYNAMICS Ltd) Certified model #09-181272",2009-12-09,09 193196,Small Residential Projects,M4J,00,Closed, ,CRAVEN,1055,RD,Converted House,Solar Domestic Hot Water (Res)
23495,2009-12-02,NA,"Installation of a solar hot water heating system and connection to potable water heating system.
(Solar Boiler By: THERMO DYNAMICS Ltd) Certified model #09-181272",2009-12-09,09 193199,Small Residential Projects,M4L,00,Permit Issued, ,CRAVEN,427,RD,SFD - Detached,Solar Domestic Hot Water (Res)
23496,2009-12-02,2010-01-29,Permit for installation of 2 solar collector system (Solar Boiler) (certified model number 09-181272 ) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-09,09 193203,Small Residential Projects,M4M,00,Closed, ,BROADVIEW,77,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23497,2009-12-04,2011-01-26,Permit for installation of 2 solar collectors system (Enerworks Inc) (certified model number 09- 148269) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water. (Sloped Roof),2009-12-09,09 194107,Small Residential Projects,M4C,00,Closed, ,WESTLAKE,138,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23498,2009-12-04,2010-07-20,Permit for installation of 2 solar collector system (Enerworks Inc) (certified model number 09- 148269) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water. (Sloped Roof),2009-12-09,09 194116,Small Residential Projects,M4E,00,Closed, ,LEE,217,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23499,2009-12-04,2010-08-13,Permit for installation of 2 solar collector system (Enerworks Inc) (certified model number 09- 148269) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water. (Sloped Roof),2009-12-09,09 194164,Small Residential Projects,M4J,00,Closed, ,SAMMON,37,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23500,2009-12-07,2010-07-20,Permit for installation of 2 solar collector system (Enerworks Inc) (certified model number 09- 148269) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water. (Sloped Roof),2009-12-09,09 194354,Small Residential Projects,M4L,00,Closed, ,BOARDWALK,139,DR,SFD - Detached,Solar Domestic Hot Water (Res)
23501,2009-12-11,2010-06-09,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-15,09 196049,Small Residential Projects,M4J,00,Closed, ,MURIEL,38,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23502,2009-12-11,2010-05-28,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-15,09 196081,Small Residential Projects,M4J,00,Closed, ,MURIEL,22,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23503,2009-12-11,2010-05-06,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-15,09 196098,Small Residential Projects,M4M,00,Closed, ,WINNIFRED,45,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23504,2009-12-11,2010-11-19,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-15,09 196108,Small Residential Projects,   ,00,Closed, ,LINNSMORE,11,CRES,SFD - Detached,Solar Domestic Hot Water (Res)
23505,2009-12-11,2010-06-04,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-15,09 196117,Small Residential Projects,M4M,00,Closed, ,CUMMINGS,51,ST,SFD - Townhouse,Solar Domestic Hot Water (Res)
23506,2009-12-11,2010-09-21,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-15,09 196128,Small Residential Projects,M4J,00,Closed, ,SEYMOUR,42,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23507,2009-12-11,2010-07-19,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-15,09 196135,Small Residential Projects,M4M,00,Closed, ,JONES,197 1/2,AVE,SFD - Townhouse,Solar Domestic Hot Water (Res)
23508,2009-12-14,2010-10-20,Permit for installation of 2 solar collector system (Enerworks Inc) (certified model number 09-148269) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water. (Sloped Roof),2009-12-16,09 196450,Small Residential Projects,M1L,00,Closed,S,STAMFORD,26,SQ,SFD - Detached,Solar Domestic Hot Water (Res)
23509,2009-12-14,2010-09-17,Permit for installation of 2 solar collector system (Enerworks Inc) (certified model number 09-148269) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water. (Sloped Roof),2009-12-16,09 196467,Small Residential Projects,M4A,00,Closed, ,WIGMORE,16,DR,SFD - Detached,Solar Domestic Hot Water (Res)
23510,2009-12-17,2010-06-01,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-29,09 197646,Small Residential Projects,M4K,00,Closed, ,ALBEMARLE,16,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23511,2009-12-17,2010-09-15,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-29,09 197648,Small Residential Projects,M4M,00,Closed, ,BUSHELL,41,AVE,SFD - Townhouse,Solar Domestic Hot Water (Res)
23512,2009-12-17,2010-04-20,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-29,09 197650,Small Residential Projects,M4J,00,Closed, ,EATON,98,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23513,2009-12-17,2011-04-12,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-29,09 197654,Small Residential Projects,M4J,00,Closed, ,CAVELL,53,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23514,2009-12-17,2010-07-02,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-29,09 197656,Small Residential Projects,M4L,00,Closed, ,KENILWORTH,165,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23515,2009-12-21,2010-09-22,Permit for installation of solar collector system (Boss Solar) (certified model number 09-148268-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water.,2009-12-29,09 198686,Small Residential Projects,M4K,00,Closed, ,HAMPTON,25,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
