application_date,completed_date,postal,status
2010-11-04,2011-07-12,M4C,Closed
2010-12-02,2011-07-13,M4C,Closed
2010-10-28,2011-07-12,M4L,Closed
2012-04-05,2014-10-30,M1M,Closed
2009-11-26,2013-03-11,M1V,Closed
2009-11-26,2010-05-05,M4C,Closed
2009-11-03,2011-03-16,M4J,Closed
2009-12-01,2011-07-26,M4L,Closed
2009-11-10,2012-03-20,M4J,Closed
2010-11-03,2011-04-19,M4L,Closed
2009-11-20,2010-03-11,M4C,Closed
2009-11-25,2010-04-29,M4J,Closed
2009-12-11,2010-09-21,M4J,Closed
2010-01-06,2010-09-30,M4M,Closed
2009-11-04,2010-05-06,M4M,Closed
2010-11-04,2011-07-12,M4C,Closed
2010-11-04,2011-04-19,M4L,Closed
2009-12-02,2010-01-29,M4M,Closed
2009-06-19,2010-07-14,M4M,Closed
2010-07-22,2010-09-03,M5M,Closed
2009-12-01,2010-01-20,M4W,Closed
2010-11-04,2011-07-12,M4L,Closed
2009-12-14,2010-09-17,M4A,Closed
2009-11-23,2010-05-20,M4M,Closed
2010-11-17,2011-02-10,M4L,Closed
2010-11-04,2021-09-24,M6E,Closed
2009-11-09,2010-10-06,M4E,Closed
2009-12-01,2010-07-29,M4K,Closed
2022-06-22,2022-12-12,M4J,Closed
2010-12-01,2011-07-13,M4C,Closed
2009-11-17,2010-04-20,M4J,Closed
2010-11-04,2011-07-12,M4C,Closed
2022-12-20,2024-03-13,M9C,Closed
2010-07-07,2010-10-22,M6K,Closed
2022-10-06,2024-01-23,M6R,Closed
2016-07-27,2018-09-11,M1R,Closed
2009-05-11,2011-01-14,M4J,Closed
2010-11-17,2011-06-29,M4C,Closed
2009-11-10,2010-08-10,M8W,Closed
2009-11-23,2010-05-20,M4M,Closed
2009-11-17,2010-11-10,M4L,Closed
2009-12-17,2010-09-15,M4M,Closed
2009-12-14,2010-10-20,M1L,Closed
2009-12-17,2010-06-01,M4K,Closed
2009-11-17,2010-09-22,M4M,Closed
2023-02-03,2023-12-27,M1B,Closed
2022-12-19,2023-11-24,M1L,Closed
