application_date,completed_date,postal,status,completed_month_year
2010-11-04,2011-02-02,M4E,Closed,Feb 2011
2010-11-04,2021-09-24,M6E,Closed,Sep 2021
2010-11-04,2011-07-12,M4L,Closed,Jul 2011
2010-11-04,2011-06-28,M4C,Closed,Jun 2011
2010-11-04,2011-07-12,M4C,Closed,Jul 2011
2010-11-17,2011-02-10,M4L,Closed,Feb 2011
2010-11-17,2011-06-29,M4C,Closed,Jun 2011
2010-11-17,2011-04-19,M4L,Closed,Apr 2011
2010-11-17,2013-03-21,M4E,Cancelled,Mar 2013
2010-11-17,2011-04-19,M4L,Closed,Apr 2011
2010-11-17,2011-02-09,M4E,Closed,Feb 2011
2010-11-17,2011-04-19,M4L,Closed,Apr 2011
2010-11-17,2011-05-04,M4L,Closed,May 2011
2010-11-17,2011-02-09,M4E,Closed,Feb 2011
2010-11-17,2011-02-10,M4L,Closed,Feb 2011
2010-11-17,2011-02-10,M4L,Closed,Feb 2011
2010-11-17,2011-07-12,M4C,Closed,Jul 2011
2010-11-17,2011-07-12,M4L,Closed,Jul 2011
2010-11-17,2011-07-13,M4L,Closed,Jul 2011
2010-12-01,2011-07-13,M4J,Closed,Jul 2011
2010-12-01,2011-07-13,M4C,Closed,Jul 2011
2010-12-01,2011-07-13,M4C,Closed,Jul 2011
2010-12-02,2011-07-13,M4C,Closed,Jul 2011
2010-12-02,2021-11-01,M4C,Closed,Nov 2021
2010-12-02,2011-07-13,M4C,Closed,Jul 2011
2011-01-10,2011-05-03,M4A,Closed,May 2011
2011-02-15,2011-02-25,M4L,Closed,Feb 2011
2011-06-03,2012-01-03,M6G,Closed,Jan 2012
2011-08-11,2013-03-18,M1W,Closed,Mar 2013
2011-08-26,2011-09-13,M4J,Closed,Sep 2011
2011-08-26,2011-09-13,M4J,Closed,Sep 2011
2011-09-16,2012-05-04,M4L,Closed,May 2012
2011-09-27,2013-03-01,M1R,Closed,Mar 2013
2011-10-31,2011-11-17,M1C,Closed,Nov 2011
2011-12-15,2015-11-17,M1C,Cancelled,Nov 2015
2012-04-05,2014-10-30,M1M,Closed,Oct 2014
2012-06-19,2019-10-01,M4N,Cancelled,Oct 2019
2012-10-15,2015-02-09,M1M,Closed,Feb 2015
2015-05-29,2021-11-25,M5R,Closed,Nov 2021
2016-05-30,2019-04-01,M1B,Cancelled,Apr 2019
2016-07-15,2016-07-22,M1M,Cancelled,Jul 2016
2016-07-27,2018-09-11,M1R,Closed,Sep 2018
2020-08-28,2020-10-09,M8V,Closed,Oct 2020
2022-06-02,2024-06-04,M4J,Closed,Jun 2024
2022-06-22,2022-12-12,M4J,Closed,Dec 2022
2022-09-19,2023-01-24,M1K,Closed,Jan 2023
2022-10-06,2024-01-23,M6R,Closed,Jan 2024
2022-12-19,2023-11-24,M1L,Closed,Nov 2023
2022-12-20,2024-03-13,M9C,Closed,Mar 2024
2023-02-03,2023-12-27,M1B,Closed,Dec 2023
2023-03-16,2024-03-11,M6B,Closed,Mar 2024
2023-03-30,2024-09-17,M6S,Closed,Sep 2024
2023-07-27,2024-04-10,M2J,Closed,Apr 2024
2023-08-29,2023-11-29,M5M,Closed,Nov 2023
